
2024/02/23 (17:14:24) | ===> btop++ v.1.2.13
2024/02/23 (17:14:24) | ERROR: Stall in Runner thread, restarting!

2024/03/15 (14:15:29) | ===> btop++ v.1.2.13
2024/03/15 (14:15:29) | ERROR: Stall in Runner thread, restarting!
2024/03/15 (14:15:36) | ERROR: Stall in Runner thread, restarting!
2024/03/15 (14:29:33) | ERROR: Stall in Runner thread, restarting!

2024/07/30 (14:44:27) | ===> btop++ v.1.3.2
2024/07/30 (14:44:27) | ERROR: failed getting network interfaces
2024/08/02 (19:13:34) | ERROR: Stall in Runner thread, restarting!
2024/08/03 (16:08:55) | ERROR: Stall in Runner thread, restarting!
2024/08/03 (16:09:31) | ERROR: Stall in Runner thread, restarting!
2024/08/03 (16:09:46) | ERROR: Stall in Runner thread, restarting!
2024/08/04 (01:12:22) | ERROR: Stall in Runner thread, restarting!
2024/08/04 (01:13:24) | ERROR: Stall in Runner thread, restarting!
2024/08/04 (01:17:47) | ERROR: Stall in Runner thread, restarting!
2024/08/05 (03:11:45) | ERROR: failed getting network interfaces

2024/08/08 (04:25:26) | ===> btop++ v.1.3.2
2024/08/08 (04:25:26) | ERROR: Stall in Runner thread, restarting!
2024/08/08 (08:13:18) | ERROR: Stall in Runner thread, restarting!
2024/08/08 (17:37:49) | ERROR: Stall in Runner thread, restarting!
2024/08/08 (19:33:21) | ERROR: Stall in Runner thread, restarting!
2024/08/16 (12:08:52) | ERROR: Stall in Runner thread, restarting!
2024/08/23 (17:33:41) | ERROR: Stall in Runner thread, restarting!
2024/08/23 (17:33:47) | ERROR: Stall in Runner thread, restarting!
2024/08/23 (17:33:53) | ERROR: Stall in Runner thread, restarting!
2024/08/23 (17:33:59) | ERROR: Stall in Runner thread, restarting!
2024/08/23 (17:34:05) | ERROR: Stall in Runner thread, restarting!
2024/08/23 (17:34:11) | ERROR: Stall in Runner thread, restarting!
2024/08/23 (17:34:17) | ERROR: Stall in Runner thread, restarting!
2024/08/23 (17:34:23) | ERROR: Stall in Runner thread, restarting!
2024/08/23 (17:34:29) | ERROR: Stall in Runner thread, restarting!
2024/08/23 (17:34:35) | ERROR: Stall in Runner thread, restarting!
2024/08/23 (17:34:41) | ERROR: Stall in Runner thread, restarting!

2024/08/31 (20:55:36) | ===> btop++ v.1.3.2
2024/08/31 (20:55:36) | ERROR: Stall in Runner thread, restarting!
2024/09/02 (00:28:29) | ERROR: Stall in Runner thread, restarting!
2024/09/02 (23:14:22) | ERROR: Stall in Runner thread, restarting!
2024/09/03 (14:43:10) | ERROR: Stall in Runner thread, restarting!
2024/09/03 (14:43:16) | ERROR: Stall in Runner thread, restarting!
2024/09/03 (14:43:22) | ERROR: Stall in Runner thread, restarting!
2024/09/05 (01:24:05) | ERROR: Stall in Runner thread, restarting!
2024/09/05 (22:29:39) | ERROR: Stall in Runner thread, restarting!
2024/09/07 (10:09:47) | ERROR: Stall in Runner thread, restarting!
2024/09/07 (10:09:53) | ERROR: Stall in Runner thread, restarting!
2024/09/07 (10:09:59) | ERROR: Stall in Runner thread, restarting!
2024/09/07 (10:10:05) | ERROR: Stall in Runner thread, restarting!

2024/09/19 (02:04:42) | ===> btop++ v.1.3.2
2024/09/19 (02:04:42) | ERROR: Stall in Runner thread, restarting!
2024/09/19 (02:04:57) | ERROR: Stall in Runner thread, restarting!
2024/09/19 (02:05:26) | ERROR: Stall in Runner thread, restarting!
2024/10/02 (11:47:49) | ERROR: Stall in Runner thread, restarting!
2024/10/16 (00:06:35) | ERROR: failed getting network interfaces

2025/01/03 (19:24:17) | ===> btop++ v.1.3.2
2025/01/03 (19:24:17) | ERROR: Stall in Runner thread, restarting!
